combined_text,label
"PIXELATE Bamboo Music Amplifier For Smartphones | Universal Design Bamboo Music amplifier for your smartphone Just place phone, and instantly enjoy enhanced sound Made from Eco-friendly, 100% natural bamboo Each speaker is unique and different as it is made from unprocessed material No bluetooth or power source needed Anti-tilting inclined stand Handmade sound amplifier works through passive sound amplification Great for hands-free calls and skype.",SPECIFIC
"Ecohome Disposable Wooden Coffee/Tea Stirrers for Home, 100% Biodegradable & Eco-Friendly Wooden Stirrers for Events, Celebrations, Party, Office (4.5,5.5 inches) (500, 4.5) EcoHome strives to contribute to a plastic free environment by supplying a wide array of alternative options to food and hospitality industry and help them stand up to their quality commitments with minimal damage to the environment. Our products give off no toxic chemicals associated with conventional plastic and in addition our products have been certified compostable. EcoHome's Wooden Disposable Tea / Coffee stirrer is biodegradable and is perfect for your daily household use, kitchen, events and birthday parties. Be assured, you're not contributing to the plastic waste from our products.",SPECIFIC
"By Madee: NEW Metallic Gold Foil Stamped Napkins Linen-feel Disposable Cloth Like Paper Napkins. Decorative Soft Absorbent Dinner Napkins For Parties Disposable Hand Towels 50 Party Napkins DESCRIPTION: Take your next gathering to the next level with artfully designed premium linen-feel napkins/guest hand towels by Madee.Set a stunning table with our premium quality linen-feel disposable paper napkin/guest towel set. These top-quality pieces feature bold, classic designs, and a level of quality that instantly elevates any gathering.Stunning design that’s at home in every room.Dramatic hot-stamped foil accents make a statement of modern style. Or choose clean, classic prints that mimic the look of real linen napkins. Either way you’ll create a look that’s perfect for a stylish table, or completely at home as guest towels in the bathroom or kitchen.Quality your guests can feel.Beauty is more than skin-deep. These soft-yet-sturdy napkins feel better because they are better—providing twice the absorbency of other napkins, and a quality feel your guests will notice instantly. Colors to match every mood. Our colorful accents help you set a stylish tone for any occasion: family gatherings, birthdays, professional events, holiday parties, bridal or baby showers—these napkins are always dressed for the occasion. Available in rose-gold, gold, silver, Holiday Gold and Holiday silverDisposable, recyclable, affordable, amazing.Uncompromising quality. Stellar design. Soft, absorbent feel. All in a convenient 50 pack at an unbelievable price. And if you don’t love them, simply return them - 100% guaranteed.",SPECIFIC
Leading Self: Leading for Social Responsibility and Sustainable Development,VAGUE
"Under The Nile Organic Cotton Unisex Baby Taco Print Side Snap Footie, 3-6 Months Organic Egyptian Cotton white baby side snap footie with taco print",SPECIFIC
"ArtzFolio Greys Family Dim Gray Colour Framed Dry Erase White Board | Magnetic Board Combo with Magnet Buttons & Markers | Natural Brown Frame 20 x 20 inch (51 x 51 cms) Magnetic Board; Natural Brown Frame || SIZE: 20 x 20 inch (51 x 51 cms): including 0.75 inch wide Natural Brown Frame HIGHLIGHTS: Multipurpose magnetic dry-erase white board with an elegant framing Combo of magnetic board, magnetic buttons, and dry-erase markers Ideal for use in home, offices, schools, and colleges FEATURES: Equipped with an easy-clean technology which prevents ghost marks, shadowing and glares Laminated board provides a smooth writing surface Use the board in both vertical or horizontal positions Easy to write on & wipe off Usage of non-permanent markers Rust & corrosion-resistant Framed, light-weight, and durable No assembly required - Pre-fitted with wall hanging hooks Engineered wood at the back for additional strength Hand-crafted, hand assembled, and made to perfection USAGE: Jot down your notes, reminders & to-do lists Useful for playing games, teaching & discussion forums Display board for your photos Hang it as a wall painting Keeps your space 100% clean & clear of paper clutter PRINTING: Breathtaking designs printed on the top laminated layer adds to its uniquely distinctive feature Premium materials printed with eco-friendly acid-free inks to capture every bit of image detail NOTE: Product pictures are not measured to scale, meant only for display purpose Product colours may seem varying on different computers or mobile screens due to their varying display resolution",SPECIFIC
"Smead End Tab File Folder, Shelf-Master Reinforced Straight-Cut Tab, Letter Size, Red, 100 per Box (25710) The industry standard for efficient shelf filing, these folders feature a reinforced tab for strength, embossed lines for easy label application and an undercut front panel for label readability. Popular for medical, dental and hospital filing systems as well as for very large records management systems in financial and insurance firms. Includes 100 letter size folders (12-1/4"" W x 9-1/2""H). Each folder has a reinforced straight-cut tab. Proudly made in the USA. Contains 10% recycled content, 10% post-consumer material and is SFI Sourcing Certified. A Rich Heritage of Innovation and Quality. A world-leading provider of solutions of efficient document management, Smead is a woman-owned company well-known for its high quality, environmentally responsible products and innovative organizational systems. For more than a century, Smead has been committed to one purpose: Keeping You Organized!",SPECIFIC
"LA Baby 4 Sided Changing Pad Ecru LA Baby's 32"" 4-Sided square corner style changing pad with Blended Organic Cotton Cover has 4"" high sides to keep baby safe at changing time. Features a non-skid bottom that prevents pad from sliding while changing baby and has an overall size of 32"" x 16"" x 4"". The deluxe Blended Organic Cotton fabric cover is waterproof, non-toxic, non-allergenic and luxurious to the touch. Safety harness for baby with a quick release buckle. Includes security strap for holding changing pad to changing table or dresser top. Proudly made in the U.S.A from domestic and imported sources. 1 year warranty.",SPECIFIC
"CHINDI BASKET by ABHIRAJ OVERSEAS Cotton Rope Baskets are exactly what you need to keep your household organized. We proudly bring to you the ultimate solution in decorative storage that is useful for: LIVING ROOM: Use them to store extra pillows, cushions, magazines, flowers, etc. BATHROOM: Keep your towel and washed clothes near the tub or shower as per the utility. NURSERY: The basket is really soft and gentle made from organic 100% pure Cotton so that your children are safe and will really enjoy putting their stuff and taking them out. Use it to keep your kids' room organized. It’s the perfect storage bins to store toys, clutter, junk, and unused blankets. BEDROOM: Store your bed pillows and covers at bedtime instead of throwing them on the floor or a chair. LAUNDRY ROOM: You can always use it as a laundry basket to keep your clothes, towels, put a blanket, and get things organized the easy way. J COTTON ROPE PLANTER: This small size planter basket is best suited as plant cover, tabletop planter, bedside necessities, bathroom accessories, cosmetics, and home décor purpose. This planter will highlight any dim corner of your house and will make it look awesome. These Cotton rope baskets are available in different sizes and colors. The basket is folded when shipping, but it will turn back to its elegant shape quickly and fill it with some towels or toys.",SPECIFIC
"Sun shaving double edge safety razor for men BLACK PLATING Made with highest quality material and carefully handcrafted for effortless shaving experience Meticulous designed to have perfect weight and ergonomic shape Ideally works straight on ingrown hair, beard, and mustache and gives a smooth shave Chrome plated brass construction Environmentally friendly and sustainable Solid, durable and cost-effective Pristine Shaving Guide – User manual included that directs you for perfect shave High quality - Its chrome plated finishing prevents from rust, tarnish and breakage. Its firm, non-slippery grip giving extra balance needed for close precision shave at every stroke.",VAGUE
"Smartwool Men's Smartloft Anchor Line Shirt Jacket Graphite XX-Large Mens Get ready for the mash-up you never knew you needed: our new Men's Smartloft Anchor Line Shirt Jacket. This Merino wool midlayer combines the DWR weather protection and 50% recycled wool insulation of our Smartloft collection with the technical benefits and style of our Merino-dominant Anchor Line collection. It offers lightweight, packable warmth and breathability even when wet—making it one of our best midlayers for skiing and cold-weather adventuring.",SPECIFIC
"Molshine 500 Yards (250yd/roll) Smooth Balloon Ribbon, Crimped Curling Balloon String Roll for DIY Holiday Venue Party Wedding Decoration, Gift Packaging -2Pack (Deep Purple) Specification: Material: environmentally friendly plastic ribbon size: L 500yards x W 0.2inch/450m x 0.5cm Reel size: L 3.34 x 3.74inch/8.5 x 9.5xm Weight: 160g/ 5.64oz/ 0.35 lb Available Color: Silver, Gold, Bule, Green, Purple, Red, Rose Red. Note: There is a risk of entanglement, children need to be completed under adult supervision. The balloon cannot be tied directly to avoid air leakage; it can be decorated The size is measured manually, there may be minor errors, which will not affect the use, please rest assured to buy.",VAGUE
